date,open,high,low,close,volume
2023-01-17T00:00:00+05:30,178.33,179.1,175.92,176.97,709140.0
2023-01-16T00:00:00+05:30,178.83,179.32,177.12,178.2,583518.0
2023-01-13T00:00:00+05:30,178.1,179.87,177.33,178.13,835056.0
2023-01-12T00:00:00+05:30,179.33,179.65,177.0,177.5,737949.0
2023-01-11T00:00:00+05:30,180.0,182.33,178.35,178.73,1256583.0
2023-01-10T00:00:00+05:30,178.67,180.67,178.38,179.18,808989.0
2023-01-09T00:00:00+05:30,180.7,183.93,178.33,179.4,989868.0
2023-01-06T00:00:00+05:30,182.67,182.95,180.07,180.67,791127.0
2023-01-05T00:00:00+05:30,184.77,185.47,181.27,182.43,749841.0
2023-01-04T00:00:00+05:30,189.0,189.0,183.33,183.6,1244793.0
2023-01-03T00:00:00+05:30,186.33,190.33,184.45,188.52,1265370.0
2023-01-02T00:00:00+05:30,181.33,187.47,181.33,185.37,2003130.0
2022-12-30T00:00:00+05:30,180.0,182.45,179.83,181.63,1193490.0
2022-12-29T00:00:00+05:30,179.17,179.97,177.05,178.65,758832.0
2022-12-28T00:00:00+05:30,180.1,182.9,178.35,179.33,1160250.0
2022-12-27T00:00:00+05:30,179.67,181.93,178.5,179.3,1102413.0
2022-12-26T00:00:00+05:30,175.42,180.55,173.83,178.02,1487547.0
2022-12-23T00:00:00+05:30,181.67,182.53,175.0,175.42,2123238.0
2022-12-22T00:00:00+05:30,188.32,189.32,180.88,183.13,2187798.0
2022-12-21T00:00:00+05:30,194.67,194.8,186.08,187.25,1992303.0
2022-12-20T00:00:00+05:30,192.67,195.58,192.28,193.27,1396383.0
2022-12-19T00:00:00+05:30,197.05,197.4,193.2,193.58,1435287.0
2022-12-16T00:00:00+05:30,193.0,198.33,192.07,197.05,3794634.0
2022-12-15T00:00:00+05:30,194.93,198.22,192.93,193.55,1970775.0
2022-12-14T00:00:00+05:30,196.55,198.9,194.62,195.17,3845319.0
2022-12-13T00:00:00+05:30,189.82,198.78,189.33,195.35,6267741.0
2022-12-12T00:00:00+05:30,190.77,190.77,188.67,189.12,916182.0
2022-12-09T00:00:00+05:30,192.33,192.85,190.5,191.02,1378320.0
2022-12-08T00:00:00+05:30,193.33,193.83,191.33,191.78,1140216.0
2022-12-07T00:00:00+05:30,194.67,196.0,191.8,193.9,1894239.0
2022-12-06T00:00:00+05:30,189.33,196.33,189.0,194.22,3085767.0
2022-12-05T00:00:00+05:30,191.02,191.8,189.45,190.03,1017255.0
2022-12-02T00:00:00+05:30,192.58,192.58,190.07,190.87,1296951.0
2022-12-01T00:00:00+05:30,193.33,194.28,191.85,192.6,2170719.0
2022-11-30T00:00:00+05:30,192.83,194.0,192.0,192.4,1204500.0
2022-11-29T00:00:00+05:30,193.33,194.58,191.4,193.43,3334632.0
2022-11-28T00:00:00+05:30,190.65,194.53,189.68,190.27,1589292.0
2022-11-25T00:00:00+05:30,190.17,191.95,189.03,190.65,955143.0
2022-11-24T00:00:00+05:30,186.17,191.67,186.17,189.65,1873725.0
2022-11-23T00:00:00+05:30,186.63,188.08,184.68,186.05,1265598.0
2022-11-22T00:00:00+05:30,188.13,188.4,185.08,185.53,1149801.0
2022-11-21T00:00:00+05:30,189.0,191.5,186.68,187.27,1164210.0
2022-11-18T00:00:00+05:30,191.67,191.67,188.5,189.05,1119456.0
2022-11-17T00:00:00+05:30,192.98,193.23,190.33,190.78,967311.0
2022-11-16T00:00:00+05:30,194.65,195.0,192.03,192.98,940797.0
2022-11-15T00:00:00+05:30,196.63,198.13,193.35,194.33,1618374.0
2022-11-14T00:00:00+05:30,191.67,199.92,190.43,197.03,4168845.0
2022-11-11T00:00:00+05:30,194.0,194.92,190.0,190.8,2054628.0
2022-11-10T00:00:00+05:30,194.5,195.58,191.67,192.32,1648866.0
2022-11-09T00:00:00+05:30,196.67,198.33,195.05,195.75,2693694.0
2022-11-07T00:00:00+05:30,203.0,204.63,199.0,200.33,3305793.0
2022-11-04T00:00:00+05:30,198.0,202.43,197.75,200.82,1523991.0
2022-11-03T00:00:00+05:30,197.83,198.88,196.33,197.62,1046259.0
2022-11-02T00:00:00+05:30,199.42,199.42,196.95,197.97,844140.0
2022-11-01T00:00:00+05:30,197.47,199.67,197.18,198.4,1067073.0
2022-10-31T00:00:00+05:30,200.67,201.58,196.33,196.7,1881672.0
2022-10-28T00:00:00+05:30,203.85,204.98,199.33,200.02,1279218.0
2022-10-27T00:00:00+05:30,205.35,207.0,203.22,203.85,2214897.0
2022-10-25T00:00:00+05:30,197.17,205.9,194.58,203.72,4389336.0
2022-10-21T00:00:00+05:30,195.23,197.0,193.7,194.4,1274844.0
2022-10-20T00:00:00+05:30,195.3,195.67,193.72,194.25,1093221.0
2022-10-19T00:00:00+05:30,198.02,199.03,195.87,196.27,1566417.0
2022-10-18T00:00:00+05:30,197.2,199.55,195.4,196.67,1134411.0
2022-10-17T00:00:00+05:30,196.67,197.68,195.33,196.22,954720.0
2022-10-14T00:00:00+05:30,200.0,202.15,198.0,198.43,1133862.0
2022-10-13T00:00:00+05:30,196.98,198.3,195.73,197.05,737421.0
2022-10-12T00:00:00+05:30,198.33,199.48,195.27,197.63,1563078.0
2022-10-11T00:00:00+05:30,203.17,205.12,196.38,198.08,1688532.0
2022-10-10T00:00:00+05:30,202.67,203.78,201.48,202.85,1029738.0
2022-10-07T00:00:00+05:30,203.63,206.3,202.95,205.75,1477206.0
2022-10-06T00:00:00+05:30,205.3,207.57,203.33,203.63,1917828.0
2022-10-04T00:00:00+05:30,204.15,205.0,202.67,203.85,1286379.0
2022-10-03T00:00:00+05:30,202.43,205.0,198.87,200.68,1351149.0
2022-09-30T00:00:00+05:30,200.3,205.78,200.3,201.97,1678500.0
2022-09-29T00:00:00+05:30,204.33,204.67,198.33,200.3,1316520.0
2022-09-28T00:00:00+05:30,200.0,203.73,200.0,201.22,1378680.0
2022-09-27T00:00:00+05:30,205.47,207.67,201.18,203.28,1658916.0
2022-09-26T00:00:00+05:30,208.33,209.6,201.12,202.27,2427681.0
2022-09-23T00:00:00+05:30,214.67,215.95,210.0,210.67,1473030.0
2022-09-22T00:00:00+05:30,213.67,216.67,213.33,214.65,1146903.0
2022-09-21T00:00:00+05:30,218.12,219.27,213.9,214.68,1315293.0
2022-09-20T00:00:00+05:30,218.0,221.6,217.33,217.7,1881756.0
2022-09-19T00:00:00+05:30,221.0,221.93,215.33,215.88,1576776.0
2022-09-16T00:00:00+05:30,222.62,223.65,215.0,220.97,2419053.0
2022-09-15T00:00:00+05:30,223.75,225.0,221.83,222.68,1586958.0
2022-09-14T00:00:00+05:30,222.65,225.03,221.42,222.82,2146875.0
2022-09-13T00:00:00+05:30,229.12,229.38,225.2,226.05,1778799.0
2022-09-12T00:00:00+05:30,229.33,231.75,227.35,227.97,2198448.0
2022-09-09T00:00:00+05:30,232.72,233.33,227.0,228.18,2523720.0
2022-09-08T00:00:00+05:30,233.0,236.67,230.37,231.27,6530451.0
2022-09-07T00:00:00+05:30,224.33,234.6,223.38,230.4,10489083.0
2022-09-06T00:00:00+05:30,221.0,227.93,219.35,225.42,8316771.0
2022-09-05T00:00:00+05:30,216.57,220.53,213.78,219.32,2975931.0
2022-09-02T00:00:00+05:30,218.57,219.0,215.0,215.6,1083099.0
2022-09-01T00:00:00+05:30,215.83,219.95,215.03,217.48,1700469.0
2022-08-30T00:00:00+05:30,211.42,222.67,210.42,217.1,5679516.0
2022-08-29T00:00:00+05:30,208.67,211.2,208.08,210.1,1651173.0
2022-08-26T00:00:00+05:30,216.67,218.22,214.0,214.63,1358340.0
2022-08-25T00:00:00+05:30,215.08,219.63,214.05,215.07,1654767.0
2022-08-24T00:00:00+05:30,214.33,215.53,211.87,214.38,1811355.0
2022-08-23T00:00:00+05:30,208.98,216.23,208.88,214.42,1890213.0
2022-08-22T00:00:00+05:30,216.67,217.33,210.17,210.55,2318586.0
2022-08-19T00:00:00+05:30,220.67,222.28,217.03,217.88,2936130.0
2022-08-18T00:00:00+05:30,221.23,221.67,218.35,220.13,1889079.0
2022-08-17T00:00:00+05:30,221.43,223.3,220.08,220.67,2018217.0
2022-08-16T00:00:00+05:30,219.37,221.67,219.0,220.33,2192937.0
2022-08-12T00:00:00+05:30,217.2,220.57,215.9,218.48,3003864.0
2022-08-11T00:00:00+05:30,218.0,218.0,214.7,216.28,1793781.0
2022-08-10T00:00:00+05:30,216.33,217.93,214.02,214.9,2126940.0
2022-08-08T00:00:00+05:30,222.15,222.83,214.67,215.32,3923946.0
2022-08-05T00:00:00+05:30,223.73,225.87,221.27,222.15,1992042.0
2022-08-04T00:00:00+05:30,228.33,231.3,221.0,222.6,3807321.0
2022-08-03T00:00:00+05:30,236.0,236.25,226.73,229.02,5131149.0
2022-08-02T00:00:00+05:30,226.97,237.63,225.33,234.75,9245460.0
2022-08-01T00:00:00+05:30,227.0,232.65,225.33,227.33,4707636.0
2022-07-29T00:00:00+05:30,223.02,227.73,222.12,226.17,4083717.0
2022-07-28T00:00:00+05:30,219.67,224.0,219.35,221.25,1904946.0
2022-07-27T00:00:00+05:30,219.67,220.63,216.8,218.35,1048635.0
2022-07-26T00:00:00+05:30,222.23,224.33,219.0,220.03,1859919.0
2022-07-25T00:00:00+05:30,225.0,226.98,220.23,221.95,1739499.0
2022-07-22T00:00:00+05:30,226.33,228.98,223.82,225.2,2324967.0
2022-07-21T00:00:00+05:30,223.0,226.33,222.37,225.12,2678541.0
2022-07-20T00:00:00+05:30,226.67,228.98,223.5,224.6,3334050.0
2022-07-19T00:00:00+05:30,217.93,225.33,217.0,224.23,4522455.0
2022-07-18T00:00:00+05:30,217.0,220.53,216.67,218.73,2705295.0
2022-07-15T00:00:00+05:30,220.0,221.35,214.07,216.37,2759799.0
2022-07-14T00:00:00+05:30,224.12,225.23,216.83,219.57,3285972.0
2022-07-13T00:00:00+05:30,221.6,227.87,221.6,224.12,10656852.0
2022-07-12T00:00:00+05:30,209.33,221.65,208.0,219.23,6541191.0
2022-07-11T00:00:00+05:30,208.33,213.3,205.03,211.05,3466968.0
2022-07-08T00:00:00+05:30,216.67,218.0,207.88,209.43,4342779.0
2022-07-07T00:00:00+05:30,205.67,216.6,203.7,214.92,8559465.0
2022-07-06T00:00:00+05:30,199.53,204.6,198.53,203.63,3512970.0
2022-07-05T00:00:00+05:30,199.75,203.2,198.0,199.05,2485326.0
2022-07-04T00:00:00+05:30,199.0,202.32,197.67,198.97,1824312.0
2022-07-01T00:00:00+05:30,198.32,201.65,195.48,200.02,2335920.0
2022-06-30T00:00:00+05:30,200.33,207.93,197.95,198.97,6884964.0
2022-06-29T00:00:00+05:30,196.67,200.48,195.6,198.85,2138217.0
2022-06-28T00:00:00+05:30,200.67,202.17,197.63,199.88,3040662.0
2022-06-27T00:00:00+05:30,201.8,205.85,200.03,202.4,4058037.0
2022-06-24T00:00:00+05:30,197.67,201.33,194.85,198.18,4537494.0
2022-06-23T00:00:00+05:30,198.33,204.4,193.33,195.95,6380049.0
2022-06-22T00:00:00+05:30,204.93,204.93,195.4,198.98,5465634.0
2022-06-21T00:00:00+05:30,186.67,208.33,186.67,205.52,13124043.0
2022-06-20T00:00:00+05:30,194.67,196.55,183.0,184.6,5723601.0
2022-06-17T00:00:00+05:30,208.0,208.82,190.8,194.73,7482222.0
2022-06-16T00:00:00+05:30,227.9,229.2,206.67,208.68,5220966.0
2022-06-15T00:00:00+05:30,226.33,228.0,223.33,224.17,1737165.0
2022-06-14T00:00:00+05:30,227.5,235.9,223.48,224.23,2751492.0
